,Drug,Demographic,Personnality,All
0,alcohol,0.5714981221310336,0.5167617192933649,0.5131450827653359
1,amphet,0.6491935483870968,0.5841231570779293,0.6147045782064073
2,amyl,0.5549616858237548,0.5078927203065134,0.6152107279693486
3,benzos,0.6561362134425253,0.5757648400347272,0.586934549648193
4,caff,0.4954954954954955,0.48558558558558557,0.4918918918918919
5,canabis,0.7158857716868767,0.6215110855994834,0.722544306522207
6,choc,0.49730700179533216,0.4865350089766607,0.48204667863554757
7,coke,0.5678532901833873,0.5625404530744337,0.5771170442286947
8,crack,0.515035297311974,0.5347882161281564,0.555219929405376
9,ecstasy,0.7018841482404234,0.5869666770476487,0.6467481573756877
10,heroin,0.5317500672987766,0.5891334908623216,0.550474082493345
11,ketamine,0.5137975087831363,0.5513148089002449,0.5222612583839029
12,legalh,0.7322355444825079,0.604977680888612,0.6525096024083878
13,lsd,0.721379374534624,0.6022275999007198,0.6616561181434599
14,meth,0.6767316017316017,0.5621212121212121,0.6154220779220779
15,mushrooms,0.7415294457513103,0.6115306838347572,0.6414923032479056
16,nicotine,0.6262399604955485,0.5622558203709351,0.5899960786022396
17,semer,0.5,0.4920353982300885,0.49734513274336284
18,vsa,0.5449248120300751,0.5861170784103115,0.5764769065520945
